danger_ranking,state_name,state_latitude,state_longitude,total_crime_rate
1,California,36.778261,-119.4179324,10750416.0
2,Texas,31.9685988,-99.9018131,8010852.0
3,Florida,27.6648274,-81.5157535,4778104.0
4,New York,40.7127753,-74.0059728,3451480.0
5,North Carolina,35.7595731,-79.01929969999999,2761456.0
6,Georgia,42.315407,43.35689199999999,2671612.0
7,Illinois,40.6331249,-89.3985283,2609854.0
8,Ohio,40.4172871,-82.90712300000001,2607372.0
9,Washington,38.9071923,-77.0368707,2523914.0
10,Pennsylvania,41.2033216,-77.1945247,2271938.0
11,Tennessee,35.5174913,-86.5804473,2172946.0
12,Arizona,34.0489281,-111.0937311,2012110.0
13,Michigan,44.3148443,-85.60236429999999,1967400.0
14,Colorado,39.5500507,-105.7820674,1924698.0
15,Missouri,37.9642529,-91.8318334,1856476.0
16,South Carolina,33.836081,-81.1637245,1667664.0
17,Louisiana,30.5190775,-91.5208624,1638364.0
18,Virginia,37.4315734,-78.6568942,1549528.0
19,Indiana,40.5512165,-85.60236429999999,1455176.0
20,New Jersey,40.0583238,-74.4056612,1341530.0
21,Maryland,39.0457549,-76.64127119999999,1329606.0
22,Oregon,43.8041334,-120.5542012,1315390.0
23,Minnesota,46.729553,-94.6858998,1309662.0
24,Alabama,32.3182314,-86.902298,1292214.0
25,Oklahoma,35.0077519,-97.092877,1245714.0
26,Wisconsin,43.7844397,-88.7878678,1051750.0
27,Arkansas,35.20105,-91.8318334,1002778.0
28,Massachusetts,42.4072107,-71.3824374,994384.0
29,Kentucky,37.8393332,-84.2700179,891640.0
30,Nevada,38.8026097,-116.419389,853744.0
31,New Mexico,34.9727305,-105.0323635,808540.0
32,Utah,39.3209801,-111.0937311,800914.0
33,Kansas,39.011902,-98.4842465,789346.0
34,Mississippi,32.3546679,-89.3985283,698180.0
35,Connecticut,41.6032207,-73.087749,614744.0
36,Iowa,41.8780025,-93.097702,611270.0
37,Nebraska,41.4925374,-99.9018131,437912.0
38,Hawaii,19.8986819,-155.6658568,411888.0
39,District of Columbia,38.9071923,-77.0368707,342766.0
40,West Virginia,38.5976262,-80.4549026,307758.0
41,Montana,46.8796822,-110.3625658,282208.0
42,Idaho,44.0682019,-114.7420408,253556.0
43,Delaware,38.9108325,-75.52766989999999,246370.0
44,Alaska,63.588753,-154.4930619,237826.0
45,South Dakota,43.9695148,-99.9018131,195228.0
46,North Dakota,47.5514926,-101.0020119,181360.0
47,Maine,45.253783,-69.4454689,181096.0
48,New Hampshire,43.1938516,-71.5723953,174752.0
49,Rhode Island,41.5800945,-71.4774291,171684.0
50,Wyoming,43.0759678,-107.2902839,108772.0
51,Vermont,44.5588028,-72.57784149999999,101502.0
